"[0, 'Pictures/H28_recolor.BMP/0.6.jpg']","[6, 'Pictures/H28_recolor.BMP/2.99.jpg']","[4, 'Pictures/H28_recolor.BMP/2.2.jpg']","[1, 'Pictures/H28_recolor.BMP/1.0.jpg']","[8, 'Pictures/H28_recolor.BMP/3.79.jpg']","[3, 'Pictures/H28_recolor.BMP/1.8.jpg']","[7, 'Pictures/H28_recolor.BMP/3.39.jpg']","[5, 'Pictures/H28_recolor.BMP/2.6.jpg']","[2, 'Pictures/H28_recolor.BMP/1.4.jpg']"
"[8, 'Pictures/H26_recolor.BMP/2.52.jpg']","[0, 'Pictures/H26_recolor.BMP/0.6.jpg']","[4, 'Pictures/H26_recolor.BMP/1.86.jpg']","[1, 'Pictures/H26_recolor.BMP/1.0.jpg']","[5, 'Pictures/H26_recolor.BMP/2.7.jpg']","[2, 'Pictures/H26_recolor.BMP/1.6.jpg']","[7, 'Pictures/H26_recolor.BMP/2.33.jpg']","[3, 'Pictures/H26_recolor.BMP/1.31.jpg']","[6, 'Pictures/H26_recolor.BMP/2.11.jpg']"
"[4, 'Pictures/I04_recolor.BMP/2.17.jpg']","[8, 'Pictures/I04_recolor.BMP/3.72.jpg']","[3, 'Pictures/I04_recolor.BMP/1.78.jpg']","[1, 'Pictures/I04_recolor.BMP/1.0.jpg']","[0, 'Pictures/I04_recolor.BMP/0.6.jpg']","[5, 'Pictures/I04_recolor.BMP/2.56.jpg']","[6, 'Pictures/I04_recolor.BMP/2.95.jpg']","[2, 'Pictures/I04_recolor.BMP/1.39.jpg']","[7, 'Pictures/I04_recolor.BMP/3.33.jpg']"
"[8, 'Pictures/H0_recolor.BMP/4.03.jpg']","[1, 'Pictures/H0_recolor.BMP/1.0.jpg']","[6, 'Pictures/H0_recolor.BMP/3.14.jpg']","[7, 'Pictures/H0_recolor.BMP/3.58.jpg']","[3, 'Pictures/H0_recolor.BMP/1.84.jpg']","[0, 'Pictures/H0_recolor.BMP/0.6.jpg']","[4, 'Pictures/H0_recolor.BMP/2.7.jpg']","[5, 'Pictures/H0_recolor.BMP/2.27.jpg']","[2, 'Pictures/H0_recolor.BMP/1.42.jpg']"
"[4, 'Pictures/I07_recolor.BMP/1.39.jpg']","[1, 'Pictures/I07_recolor.BMP/0.8.jpg']","[7, 'Pictures/I07_recolor.BMP/1.97.jpg']","[3, 'Pictures/I07_recolor.BMP/1.2.jpg']","[2, 'Pictures/I07_recolor.BMP/1.0.jpg']","[6, 'Pictures/I07_recolor.BMP/1.78.jpg']","[0, 'Pictures/I07_recolor.BMP/0.6.jpg']","[8, 'Pictures/I07_recolor.BMP/2.16.jpg']","[5, 'Pictures/I07_recolor.BMP/1.58.jpg']"
"[3, 'Pictures/H29_recolor.BMP/1.72.jpg']","[8, 'Pictures/H29_recolor.BMP/3.34.jpg']","[5, 'Pictures/H29_recolor.BMP/2.39.jpg']","[0, 'Pictures/H29_recolor.BMP/0.6.jpg']","[6, 'Pictures/H29_recolor.BMP/2.72.jpg']","[7, 'Pictures/H29_recolor.BMP/3.03.jpg']","[2, 'Pictures/H29_recolor.BMP/1.36.jpg']","[4, 'Pictures/H29_recolor.BMP/2.06.jpg']","[1, 'Pictures/H29_recolor.BMP/1.0.jpg']"
"[2, 'Pictures/I20_recolor.BMP/1.31.jpg']","[1, 'Pictures/I20_recolor.BMP/1.0.jpg']","[6, 'Pictures/I20_recolor.BMP/2.36.jpg']","[3, 'Pictures/I20_recolor.BMP/1.61.jpg']","[5, 'Pictures/I20_recolor.BMP/2.13.jpg']","[8, 'Pictures/I20_recolor.BMP/2.75.jpg']","[4, 'Pictures/I20_recolor.BMP/1.88.jpg']","[7, 'Pictures/I20_recolor.BMP/2.56.jpg']","[0, 'Pictures/I20_recolor.BMP/0.6.jpg']"
"[3, 'Pictures/H11_recolor.BMP/1.52.jpg']","[6, 'Pictures/H11_recolor.BMP/2.07.jpg']","[8, 'Pictures/H11_recolor.BMP/2.28.jpg']","[5, 'Pictures/H11_recolor.BMP/1.92.jpg']","[0, 'Pictures/H11_recolor.BMP/0.6.jpg']","[1, 'Pictures/H11_recolor.BMP/1.0.jpg']","[7, 'Pictures/H11_recolor.BMP/2.19.jpg']","[4, 'Pictures/H11_recolor.BMP/1.73.jpg']","[2, 'Pictures/H11_recolor.BMP/1.28.jpg']"
"[5, 'Pictures/H4_recolor.BMP/2.87.jpg']","[6, 'Pictures/H4_recolor.BMP/3.37.jpg']","[3, 'Pictures/H4_recolor.BMP/1.91.jpg']","[7, 'Pictures/H4_recolor.BMP/3.89.jpg']","[8, 'Pictures/H4_recolor.BMP/4.41.jpg']","[4, 'Pictures/H4_recolor.BMP/2.39.jpg']","[2, 'Pictures/H4_recolor.BMP/1.45.jpg']","[1, 'Pictures/H4_recolor.BMP/1.0.jpg']","[0, 'Pictures/H4_recolor.BMP/0.6.jpg']"
"[3, 'Pictures/I21_recolor.BMP/1.54.jpg']","[2, 'Pictures/I21_recolor.BMP/1.28.jpg']","[5, 'Pictures/I21_recolor.BMP/1.96.jpg']","[4, 'Pictures/I21_recolor.BMP/1.77.jpg']","[6, 'Pictures/I21_recolor.BMP/2.13.jpg']","[8, 'Pictures/I21_recolor.BMP/2.38.jpg']","[7, 'Pictures/I21_recolor.BMP/2.27.jpg']","[0, 'Pictures/I21_recolor.BMP/0.6.jpg']","[1, 'Pictures/I21_recolor.BMP/1.0.jpg']"
"[8, 'Pictures/H5_recolor.BMP/4.39.jpg']","[2, 'Pictures/H5_recolor.BMP/1.45.jpg']","[7, 'Pictures/H5_recolor.BMP/3.87.jpg']","[4, 'Pictures/H5_recolor.BMP/2.38.jpg']","[5, 'Pictures/H5_recolor.BMP/2.86.jpg']","[3, 'Pictures/H5_recolor.BMP/1.91.jpg']","[6, 'Pictures/H5_recolor.BMP/3.36.jpg']","[0, 'Pictures/H5_recolor.BMP/0.6.jpg']","[1, 'Pictures/H5_recolor.BMP/1.0.jpg']"
"[4, 'Pictures/H12_recolor.BMP/2.61.jpg']","[0, 'Pictures/H12_recolor.BMP/0.6.jpg']","[1, 'Pictures/H12_recolor.BMP/1.0.jpg']","[5, 'Pictures/H12_recolor.BMP/3.2.jpg']","[2, 'Pictures/H12_recolor.BMP/1.51.jpg']","[3, 'Pictures/H12_recolor.BMP/2.05.jpg']","[6, 'Pictures/H12_recolor.BMP/3.82.jpg']","[7, 'Pictures/H12_recolor.BMP/4.47.jpg']","[8, 'Pictures/H12_recolor.BMP/5.15.jpg']"
"[1, 'Pictures/H24_recolor.BMP/1.0.jpg']","[7, 'Pictures/H24_recolor.BMP/3.79.jpg']","[6, 'Pictures/H24_recolor.BMP/3.3.jpg']","[0, 'Pictures/H24_recolor.BMP/0.6.jpg']","[8, 'Pictures/H24_recolor.BMP/4.28.jpg']","[4, 'Pictures/H24_recolor.BMP/2.35.jpg']","[5, 'Pictures/H24_recolor.BMP/2.82.jpg']","[2, 'Pictures/H24_recolor.BMP/1.44.jpg']","[3, 'Pictures/H24_recolor.BMP/1.89.jpg']"
"[4, 'Pictures/I06_recolor.BMP/1.32.jpg']","[8, 'Pictures/I06_recolor.BMP/1.83.jpg']","[2, 'Pictures/I06_recolor.BMP/1.0.jpg']","[5, 'Pictures/I06_recolor.BMP/1.46.jpg']","[3, 'Pictures/I06_recolor.BMP/1.16.jpg']","[6, 'Pictures/I06_recolor.BMP/1.59.jpg']","[1, 'Pictures/I06_recolor.BMP/0.82.jpg']","[0, 'Pictures/I06_recolor.BMP/0.6.jpg']","[7, 'Pictures/I06_recolor.BMP/1.72.jpg']"
"[6, 'Pictures/H2_recolor.BMP/2.6.jpg']","[3, 'Pictures/H2_recolor.BMP/1.58.jpg']","[2, 'Pictures/H2_recolor.BMP/1.3.jpg']","[7, 'Pictures/H2_recolor.BMP/2.27.jpg']","[4, 'Pictures/H2_recolor.BMP/1.83.jpg']","[1, 'Pictures/H2_recolor.BMP/1.0.jpg']","[8, 'Pictures/H2_recolor.BMP/2.45.jpg']","[5, 'Pictures/H2_recolor.BMP/2.06.jpg']","[0, 'Pictures/H2_recolor.BMP/0.6.jpg']"
"[4, 'Pictures/H8_recolor.BMP/2.11.jpg']","[3, 'Pictures/H8_recolor.BMP/1.75.jpg']","[0, 'Pictures/H8_recolor.BMP/0.6.jpg']","[1, 'Pictures/H8_recolor.BMP/1.0.jpg']","[5, 'Pictures/H8_recolor.BMP/2.47.jpg']","[2, 'Pictures/H8_recolor.BMP/1.38.jpg']","[6, 'Pictures/H8_recolor.BMP/2.82.jpg']","[7, 'Pictures/H8_recolor.BMP/3.5.jpg']","[8, 'Pictures/H8_recolor.BMP/3.16.jpg']"
"[5, 'Pictures/I13_recolor.BMP/2.28.jpg']","[4, 'Pictures/I13_recolor.BMP/1.98.jpg']","[0, 'Pictures/I13_recolor.BMP/0.6.jpg']","[1, 'Pictures/I13_recolor.BMP/1.0.jpg']","[8, 'Pictures/I13_recolor.BMP/3.09.jpg']","[2, 'Pictures/I13_recolor.BMP/1.34.jpg']","[3, 'Pictures/I13_recolor.BMP/1.67.jpg']","[7, 'Pictures/I13_recolor.BMP/2.83.jpg']","[6, 'Pictures/I13_recolor.BMP/2.56.jpg']"
"[1, 'Pictures/H9_recolor.BMP/1.0.jpg']","[4, 'Pictures/H9_recolor.BMP/1.97.jpg']","[6, 'Pictures/H9_recolor.BMP/2.53.jpg']","[5, 'Pictures/H9_recolor.BMP/2.26.jpg']","[8, 'Pictures/H9_recolor.BMP/3.04.jpg']","[0, 'Pictures/H9_recolor.BMP/0.6.jpg']","[3, 'Pictures/H9_recolor.BMP/1.66.jpg']","[2, 'Pictures/H9_recolor.BMP/1.34.jpg']","[7, 'Pictures/H9_recolor.BMP/2.79.jpg']"
"[4, 'Pictures/H21_recolor.BMP/2.49.jpg']","[2, 'Pictures/H21_recolor.BMP/1.48.jpg']","[7, 'Pictures/H21_recolor.BMP/4.14.jpg']","[0, 'Pictures/H21_recolor.BMP/0.6.jpg']","[6, 'Pictures/H21_recolor.BMP/3.57.jpg']","[5, 'Pictures/H21_recolor.BMP/3.02.jpg']","[8, 'Pictures/H21_recolor.BMP/4.73.jpg']","[3, 'Pictures/H21_recolor.BMP/1.97.jpg']","[1, 'Pictures/H21_recolor.BMP/1.0.jpg']"
"[6, 'Pictures/I03_recolor.BMP/2.19.jpg']","[4, 'Pictures/I03_recolor.BMP/1.56.jpg']","[1, 'Pictures/I03_recolor.BMP/1.0.jpg']","[0, 'Pictures/I03_recolor.BMP/0.6.jpg']","[8, 'Pictures/I03_recolor.BMP/2.48.jpg']","[3, 'Pictures/I03_recolor.BMP/1.29.jpg']","[7, 'Pictures/I03_recolor.BMP/2.35.jpg']","[2, 'Pictures/I03_recolor.BMP/1.8.jpg']","[5, 'Pictures/I03_recolor.BMP/2.01.jpg']"
"[4, 'Pictures/H10_recolor.BMP/2.15.jpg']","[0, 'Pictures/H10_recolor.BMP/0.6.jpg']","[7, 'Pictures/H10_recolor.BMP/3.28.jpg']","[6, 'Pictures/H10_recolor.BMP/2.91.jpg']","[1, 'Pictures/H10_recolor.BMP/1.0.jpg']","[5, 'Pictures/H10_recolor.BMP/2.53.jpg']","[2, 'Pictures/H10_recolor.BMP/1.39.jpg']","[3, 'Pictures/H10_recolor.BMP/1.77.jpg']","[8, 'Pictures/H10_recolor.BMP/3.65.jpg']"
"[5, 'Pictures/H7_recolor.BMP/2.3.jpg']","[4, 'Pictures/H7_recolor.BMP/1.99.jpg']","[8, 'Pictures/H7_recolor.BMP/3.12.jpg']","[0, 'Pictures/H7_recolor.BMP/0.6.jpg']","[3, 'Pictures/H7_recolor.BMP/1.68.jpg']","[2, 'Pictures/H7_recolor.BMP/1.34.jpg']","[7, 'Pictures/H7_recolor.BMP/2.86.jpg']","[1, 'Pictures/H7_recolor.BMP/1.0.jpg']","[6, 'Pictures/H7_recolor.BMP/2.59.jpg']"
"[6, 'Pictures/H23_recolor.BMP/2.29.jpg']","[4, 'Pictures/H23_recolor.BMP/1.85.jpg']","[8, 'Pictures/H23_recolor.BMP/2.64.jpg']","[1, 'Pictures/H23_recolor.BMP/1.0.jpg']","[3, 'Pictures/H23_recolor.BMP/1.59.jpg']","[7, 'Pictures/H23_recolor.BMP/2.48.jpg']","[5, 'Pictures/H23_recolor.BMP/2.08.jpg']","[2, 'Pictures/H23_recolor.BMP/1.31.jpg']","[0, 'Pictures/H23_recolor.BMP/0.6.jpg']"
"[0, 'Pictures/H20_recolor.BMP/0.6.jpg']","[3, 'Pictures/H20_recolor.BMP/1.79.jpg']","[2, 'Pictures/H20_recolor.BMP/1.39.jpg']","[5, 'Pictures/H20_recolor.BMP/2.57.jpg']","[4, 'Pictures/H20_recolor.BMP/2.18.jpg']","[1, 'Pictures/H20_recolor.BMP/1.0.jpg']","[6, 'Pictures/H20_recolor.BMP/2.95.jpg']","[7, 'Pictures/H20_recolor.BMP/3.34.jpg']","[8, 'Pictures/H20_recolor.BMP/3.72.jpg']"
"[7, 'Pictures/I16_recolor.BMP/2.32.jpg']","[1, 'Pictures/I16_recolor.BMP/1.0.jpg']","[3, 'Pictures/I16_recolor.BMP/1.55.jpg']","[6, 'Pictures/I16_recolor.BMP/2.17.jpg']","[5, 'Pictures/I16_recolor.BMP/1.99.jpg']","[2, 'Pictures/I16_recolor.BMP/1.29.jpg']","[0, 'Pictures/I16_recolor.BMP/0.6.jpg']","[4, 'Pictures/I16_recolor.BMP/1.78.jpg']","[8, 'Pictures/I16_recolor.BMP/2.44.jpg']"
"[2, 'Pictures/H25_recolor.BMP/1.28.jpg']","[5, 'Pictures/H25_recolor.BMP/1.96.jpg']","[8, 'Pictures/H25_recolor.BMP/2.38.jpg']","[7, 'Pictures/H25_recolor.BMP/2.27.jpg']","[1, 'Pictures/H25_recolor.BMP/1.0.jpg']","[3, 'Pictures/H25_recolor.BMP/1.54.jpg']","[0, 'Pictures/H25_recolor.BMP/0.6.jpg']","[4, 'Pictures/H25_recolor.BMP/1.77.jpg']","[6, 'Pictures/H25_recolor.BMP/2.13.jpg']"
"[0, 'Pictures/I08_recolor.BMP/0.6.jpg']","[7, 'Pictures/I08_recolor.BMP/4.48.jpg']","[1, 'Pictures/I08_recolor.BMP/1.0.jpg']","[6, 'Pictures/I08_recolor.BMP/3.83.jpg']","[4, 'Pictures/I08_recolor.BMP/2.62.jpg']","[5, 'Pictures/I08_recolor.BMP/3.21.jpg']","[2, 'Pictures/I08_recolor.BMP/1.51.jpg']","[3, 'Pictures/I08_recolor.BMP/2.05.jpg']","[8, 'Pictures/I08_recolor.BMP/5.16.jpg']"
"[8, 'Pictures/H18_recolor.BMP/3.48.jpg']","[7, 'Pictures/H18_recolor.BMP/3.15.jpg']","[5, 'Pictures/H18_recolor.BMP/2.8.jpg']","[1, 'Pictures/H18_recolor.BMP/1.0.jpg']","[4, 'Pictures/H18_recolor.BMP/2.1.jpg']","[2, 'Pictures/H18_recolor.BMP/1.37.jpg']","[6, 'Pictures/H18_recolor.BMP/2.46.jpg']","[3, 'Pictures/H18_recolor.BMP/1.74.jpg']","[0, 'Pictures/H18_recolor.BMP/0.6.jpg']"
"[4, 'Pictures/I15_recolor.BMP/1.36.jpg']","[1, 'Pictures/I15_recolor.BMP/0.81.jpg']","[3, 'Pictures/I15_recolor.BMP/1.18.jpg']","[6, 'Pictures/I15_recolor.BMP/1.71.jpg']","[2, 'Pictures/I15_recolor.BMP/1.0.jpg']","[7, 'Pictures/I15_recolor.BMP/1.87.jpg']","[5, 'Pictures/I15_recolor.BMP/1.54.jpg']","[8, 'Pictures/I15_recolor.BMP/2.04.jpg']","[0, 'Pictures/I15_recolor.BMP/0.6.jpg']"
"[5, 'Pictures/I01_recolor.BMP/4.23.jpg']","[1, 'Pictures/I01_recolor.BMP/1.0.jpg']","[8, 'Pictures/I01_recolor.BMP/7.44.jpg']","[2, 'Pictures/I01_recolor.BMP/1.7.jpg']","[4, 'Pictures/I01_recolor.BMP/3.31.jpg']","[3, 'Pictures/I01_recolor.BMP/2.47.jpg']","[0, 'Pictures/I01_recolor.BMP/0.6.jpg']","[6, 'Pictures/I01_recolor.BMP/5.23.jpg']","[7, 'Pictures/I01_recolor.BMP/6.29.jpg']"
"[4, 'Pictures/H3_recolor.BMP/2.68.jpg']","[5, 'Pictures/H3_recolor.BMP/3.3.jpg']","[8, 'Pictures/H3_recolor.BMP/5.36.jpg']","[7, 'Pictures/H3_recolor.BMP/4.64.jpg']","[2, 'Pictures/H3_recolor.BMP/1.53.jpg']","[1, 'Pictures/H3_recolor.BMP/1.0.jpg']","[0, 'Pictures/H3_recolor.BMP/0.6.jpg']","[6, 'Pictures/H3_recolor.BMP/3.95.jpg']","[3, 'Pictures/H3_recolor.BMP/2.09.jpg']"
"[4, 'Pictures/H1_recolor.BMP/2.32.jpg']","[1, 'Pictures/H1_recolor.BMP/1.0.jpg']","[0, 'Pictures/H1_recolor.BMP/0.6.jpg']","[2, 'Pictures/H1_recolor.BMP/1.43.jpg']","[7, 'Pictures/H1_recolor.BMP/3.71.jpg']","[5, 'Pictures/H1_recolor.BMP/2.78.jpg']","[8, 'Pictures/H1_recolor.BMP/4.2.jpg']","[3, 'Pictures/H1_recolor.BMP/1.87.jpg']","[6, 'Pictures/H1_recolor.BMP/3.24.jpg']"
"[8, 'Pictures/I14_recolor.BMP/4.13.jpg']","[1, 'Pictures/I14_recolor.BMP/1.0.jpg']","[6, 'Pictures/I14_recolor.BMP/3.2.jpg']","[2, 'Pictures/I14_recolor.BMP/1.43.jpg']","[7, 'Pictures/I14_recolor.BMP/3.66.jpg']","[4, 'Pictures/I14_recolor.BMP/2.3.jpg']","[5, 'Pictures/I14_recolor.BMP/2.75.jpg']","[3, 'Pictures/I14_recolor.BMP/1.86.jpg']","[0, 'Pictures/I14_recolor.BMP/0.6.jpg']"
"[6, 'Pictures/H16_recolor.BMP/3.41.jpg']","[4, 'Pictures/H16_recolor.BMP/2.4.jpg']","[5, 'Pictures/H16_recolor.BMP/2.9.jpg']","[3, 'Pictures/H16_recolor.BMP/1.92.jpg']","[0, 'Pictures/H16_recolor.BMP/0.6.jpg']","[8, 'Pictures/H16_recolor.BMP/4.47.jpg']","[7, 'Pictures/H16_recolor.BMP/3.93.jpg']","[1, 'Pictures/H16_recolor.BMP/1.0.jpg']","[2, 'Pictures/H16_recolor.BMP/1.45.jpg']"
"[6, 'Pictures/H27_recolor.BMP/4.76.jpg']","[4, 'Pictures/H27_recolor.BMP/3.08.jpg']","[8, 'Pictures/H27_recolor.BMP/6.67.jpg']","[3, 'Pictures/H27_recolor.BMP/2.33.jpg']","[1, 'Pictures/H27_recolor.BMP/1.0.jpg']","[2, 'Pictures/H27_recolor.BMP/1.63.jpg']","[7, 'Pictures/H27_recolor.BMP/5.69.jpg']","[0, 'Pictures/H27_recolor.BMP/0.6.jpg']","[5, 'Pictures/H27_recolor.BMP/3.89.jpg']"
"[7, 'Pictures/H22_recolor.BMP/2.73.jpg']","[0, 'Pictures/H22_recolor.BMP/0.6.jpg']","[4, 'Pictures/H22_recolor.BMP/1.94.jpg']","[5, 'Pictures/H22_recolor.BMP/2.22.jpg']","[6, 'Pictures/H22_recolor.BMP/2.48.jpg']","[1, 'Pictures/H22_recolor.BMP/1.0.jpg']","[3, 'Pictures/H22_recolor.BMP/1.64.jpg']","[8, 'Pictures/H22_recolor.BMP/2.95.jpg']","[2, 'Pictures/H22_recolor.BMP/1.33.jpg']"
"[8, 'Pictures/H19_recolor.BMP/2.68.jpg']","[2, 'Pictures/H19_recolor.BMP/1.33.jpg']","[0, 'Pictures/H19_recolor.BMP/0.6.jpg']","[5, 'Pictures/H19_recolor.BMP/2.9.jpg']","[1, 'Pictures/H19_recolor.BMP/1.0.jpg']","[4, 'Pictures/H19_recolor.BMP/1.92.jpg']","[7, 'Pictures/H19_recolor.BMP/2.45.jpg']","[3, 'Pictures/H19_recolor.BMP/1.63.jpg']","[6, 'Pictures/H19_recolor.BMP/2.19.jpg']"
"[8, 'Pictures/H13_recolor.BMP/3.44.jpg']","[4, 'Pictures/H13_recolor.BMP/2.09.jpg']","[0, 'Pictures/H13_recolor.BMP/0.6.jpg']","[1, 'Pictures/H13_recolor.BMP/1.0.jpg']","[6, 'Pictures/H13_recolor.BMP/2.78.jpg']","[7, 'Pictures/H13_recolor.BMP/3.11.jpg']","[3, 'Pictures/H13_recolor.BMP/1.73.jpg']","[2, 'Pictures/H13_recolor.BMP/1.37.jpg']","[5, 'Pictures/H13_recolor.BMP/2.44.jpg']"
"[1, 'Pictures/I12_recolor.BMP/1.0.jpg']","[3, 'Pictures/I12_recolor.BMP/1.84.jpg']","[0, 'Pictures/I12_recolor.BMP/0.6.jpg']","[4, 'Pictures/I12_recolor.BMP/2.26.jpg']","[2, 'Pictures/I12_recolor.BMP/1.42.jpg']","[8, 'Pictures/I12_recolor.BMP/3.99.jpg']","[7, 'Pictures/I12_recolor.BMP/3.55.jpg']","[6, 'Pictures/I12_recolor.BMP/3.12.jpg']","[5, 'Pictures/I12_recolor.BMP/2.69.jpg']"
"[5, 'Pictures/H14_recolor.BMP/2.44.jpg']","[3, 'Pictures/H14_recolor.BMP/1.73.jpg']","[2, 'Pictures/H14_recolor.BMP/1.37.jpg']","[0, 'Pictures/H14_recolor.BMP/0.6.jpg']","[6, 'Pictures/H14_recolor.BMP/2.78.jpg']","[4, 'Pictures/H14_recolor.BMP/2.09.jpg']","[8, 'Pictures/H14_recolor.BMP/3.44.jpg']","[1, 'Pictures/H14_recolor.BMP/1.0.jpg']","[7, 'Pictures/H14_recolor.BMP/3.12.jpg']"
"[3, 'Pictures/I22_recolor.BMP/1.62.jpg']","[6, 'Pictures/I22_recolor.BMP/2.8.jpg']","[7, 'Pictures/I22_recolor.BMP/2.15.jpg']","[5, 'Pictures/I22_recolor.BMP/2.6.jpg']","[4, 'Pictures/I22_recolor.BMP/1.89.jpg']","[0, 'Pictures/I22_recolor.BMP/0.6.jpg']","[8, 'Pictures/I22_recolor.BMP/2.39.jpg']","[1, 'Pictures/I22_recolor.BMP/1.0.jpg']","[2, 'Pictures/I22_recolor.BMP/1.32.jpg']"
"[5, 'Pictures/I23_recolor.BMP/1.0.jpg']","[1, 'Pictures/I23_recolor.BMP/0.68.jpg']","[8, 'Pictures/I23_recolor.BMP/1.22.jpg']","[7, 'Pictures/I23_recolor.BMP/1.15.jpg']","[4, 'Pictures/I23_recolor.BMP/0.92.jpg']","[2, 'Pictures/I23_recolor.BMP/0.76.jpg']","[0, 'Pictures/I23_recolor.BMP/0.6.jpg']","[3, 'Pictures/I23_recolor.BMP/0.84.jpg']","[6, 'Pictures/I23_recolor.BMP/1.08.jpg']"
"[8, 'Pictures/H6_recolor.BMP/4.62.jpg']","[5, 'Pictures/H6_recolor.BMP/2.97.jpg']","[0, 'Pictures/H6_recolor.BMP/0.6.jpg']","[3, 'Pictures/H6_recolor.BMP/1.95.jpg']","[4, 'Pictures/H6_recolor.BMP/2.45.jpg']","[6, 'Pictures/H6_recolor.BMP/3.5.jpg']","[2, 'Pictures/H6_recolor.BMP/1.47.jpg']","[1, 'Pictures/H6_recolor.BMP/1.0.jpg']","[7, 'Pictures/H6_recolor.BMP/4.05.jpg']"
"[1, 'Pictures/H15_recolor.BMP/1.0.jpg']","[8, 'Pictures/H15_recolor.BMP/2.77.jpg']","[4, 'Pictures/H15_recolor.BMP/1.88.jpg']","[2, 'Pictures/H15_recolor.BMP/1.32.jpg']","[3, 'Pictures/H15_recolor.BMP/1.61.jpg']","[6, 'Pictures/H15_recolor.BMP/2.37.jpg']","[7, 'Pictures/H15_recolor.BMP/2.58.jpg']","[0, 'Pictures/H15_recolor.BMP/0.6.jpg']","[5, 'Pictures/H15_recolor.BMP/2.14.jpg']"
"[7, 'Pictures/H17_recolor.BMP/3.38.jpg']","[2, 'Pictures/H17_recolor.BMP/1.4.jpg']","[3, 'Pictures/H17_recolor.BMP/1.8.jpg']","[1, 'Pictures/H17_recolor.BMP/1.0.jpg']","[5, 'Pictures/H17_recolor.BMP/2.59.jpg']","[6, 'Pictures/H17_recolor.BMP/2.98.jpg']","[4, 'Pictures/H17_recolor.BMP/2.19.jpg']","[8, 'Pictures/H17_recolor.BMP/3.77.jpg']","[0, 'Pictures/H17_recolor.BMP/0.6.jpg']"
